,accuracy,precision,recall,f1
214,0.8287671232876712,0.8415995298423783,0.8287671232876712,0.823605190943983
216,0.759825327510917,0.7758081869442098,0.759825327510917,0.7539989638748119
217,0.8024691358024691,0.8287932933927767,0.8024691358024691,0.797399283322601
221,0.5955056179775281,0.6128623642351613,0.5955056179775281,0.5869471504735257
222,0.9179487179487179,0.9307421150278293,0.9179487179487179,0.9169991509821417
223,0.8715596330275229,0.8811670801838709,0.8715596330275229,0.8698070673053374
224,0.8448275862068966,0.8636298211278163,0.8448275862068966,0.8421990399308258
225,0.8141025641025641,0.833234994172494,0.8141025641025641,0.8150200111459817
227,0.8097826086956522,0.8412916947845368,0.8097826086956522,0.8081055753157201
228,0.7519083969465649,0.7948784581235451,0.7519083969465649,0.7522526058249533
229,0.7613636363636364,0.7794667507902802,0.7613636363636364,0.755826888315556
230,0.8870967741935484,0.9110054474402914,0.8870967741935484,0.8884175946826405
231,0.7638888888888888,0.7990079365079364,0.7638888888888888,0.7649678380221846
232,0.9256198347107438,0.9306868284272892,0.9256198347107438,0.9254454026324943
233,0.8052631578947368,0.8208503762056254,0.8052631578947368,0.8036168537434359
235,0.7759562841530054,0.7945127504553735,0.7759562841530054,0.7737064255229835
237,0.8516746411483254,0.8855201831235808,0.8516746411483254,0.8536246874528793
238,0.7628205128205128,0.7844807135220668,0.7628205128205128,0.7515761095964221
239,0.7870722433460076,0.825557768523548,0.7870722433460076,0.7892911220096569
240,0.8571428571428571,0.8759387423671432,0.8571428571428571,0.8546908271131818
241,0.7540983606557377,0.7677980908476946,0.7540983606557377,0.7497495262457045
242,0.9560439560439561,0.9572293312346362,0.9560439560439561,0.9560182679234274
243,0.9043478260869565,0.9180352545058428,0.9043478260869565,0.9009238845262117
245,0.8695652173913043,0.8760457211655689,0.8695652173913043,0.869037218812659
246,0.788659793814433,0.804751494809035,0.788659793814433,0.7827105731894247
247,0.7969543147208121,0.8092242620188654,0.7969543147208121,0.7937306368888549
248,0.8675213675213675,0.8775090309300836,0.8675213675213675,0.8649441931757553
250,0.8695652173913043,0.897062747035573,0.8695652173913043,0.8635861377291509
251,0.8646616541353384,0.8828531308508425,0.8646616541353384,0.8629363821212053
253,0.7181208053691275,0.7403835810612697,0.7181208053691275,0.7147534802161067
254,0.75,0.7671565939215658,0.75,0.7439098430069703
255,0.8058823529411765,0.8381167108753316,0.8058823529411765,0.8009044505030799
257,0.8122977346278317,0.8251525558359644,0.8122977346278317,0.8084305041928563
258,0.8251748251748252,0.8609933119356623,0.8251748251748252,0.821351715360932
259,0.697560975609756,0.722089947089947,0.697560975609756,0.6921662638320262
